env,algo_a,algo_b,k,n_trials,exact,full_significant,full_direction,pct_naive_significant,disagreement_rate_pct,direction_flip_rate_pct
Reacher-v5,A2C,PPO,3,4000,False,True,a<b,58.775,41.225,0.0
Reacher-v5,A2C,PPO,4,4000,False,True,a<b,92.55,7.45,0.0
Reacher-v5,A2C,PPO,5,4000,False,True,a<b,99.625,0.375,0.0
Reacher-v5,A2C,PPO,6,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,7,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,8,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,9,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,10,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,12,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,15,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,PPO,19,400,True,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,3,4000,False,True,a<b,70.925,29.075,0.0
Reacher-v5,A2C,SAC,4,4000,False,True,a<b,97.6,2.4,0.0
Reacher-v5,A2C,SAC,5,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,6,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,7,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,8,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,9,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,10,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,12,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,15,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,SAC,19,400,True,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,3,4000,False,True,a<b,62.8,37.2,0.0
Reacher-v5,A2C,TD3,4,4000,False,True,a<b,93.325,6.675,0.0
Reacher-v5,A2C,TD3,5,4000,False,True,a<b,99.9,0.1,0.0
Reacher-v5,A2C,TD3,6,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,7,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,8,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,9,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,10,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,12,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,15,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,A2C,TD3,19,400,True,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,3,4000,False,True,a<b,71.55,28.45,0.0
Reacher-v5,PPO,SAC,4,4000,False,True,a<b,97.85,2.15,0.0
Reacher-v5,PPO,SAC,5,4000,False,True,a<b,99.975,0.025,0.0
Reacher-v5,PPO,SAC,6,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,7,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,8,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,9,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,10,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,12,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,15,4000,False,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,SAC,19,400,True,True,a<b,100.0,0.0,0.0
Reacher-v5,PPO,TD3,3,4000,False,True,a<b,7.3,92.7,0.1
Reacher-v5,PPO,TD3,4,4000,False,True,a<b,9.0,91.0,0.0
Reacher-v5,PPO,TD3,5,4000,False,True,a<b,12.175,87.825,0.025
Reacher-v5,PPO,TD3,6,4000,False,True,a<b,13.55,86.45,0.0
Reacher-v5,PPO,TD3,7,4000,False,True,a<b,14.875,85.125,0.0
